counter,time,cube_pose_x,cube_pose_y,eef_pose_x,eef_pose_y,eef_pose_z,eef_vel_x,eef_vel_y,eef_vel_z,eef_pose_x_next,eef_pose_y_next,eef_pose_z_next,eef_vel_x_next,eef_vel_y_next,eef_vel_z_next
7128,791.617,0.71,0.02,0.6622893158,-0.026133569,-0.1593038681,0.6584617556,0.4247161029,0.4154069517,0.7129167597,0.0126009463,-0.1217041716,0.2657842524,0.2902443738,0.1733471659
7129,791.718,0.71,0.02,0.7129167597,0.0126009463,-0.1217041716,0.2657842524,0.2902443738,0.1733471659,0.7126727736,0.023522921,-0.1271671295,-0.1422527483,-0.0199786498,-0.2011655676
7130,791.817,0.71,0.02,0.7126727736,0.023522921,-0.1271671295,-0.1422527483,-0.0199786498,-0.2011655676,0.3987604628,-0.0003270922,-0.1398569568,0.0338912141,-0.0624657966,0.2481636712
7131,792.555,0.78,-0.39,0.3987604628,-0.0003270922,-0.1398569568,0.0338912141,-0.0624657966,0.2481636712,0.4642775025,-0.0858392563,-0.1765060646,0.6626528024,-1.5521768118,-0.8002122329
7132,792.659,0.78,-0.39,0.4642775025,-0.0858392563,-0.1765060646,0.6626528024,-1.5521768118,-0.8002122329,0.5063786534,-0.2023558942,-0.2768149954,0.4471831622,-0.2648626707,-1.1635660642
7133,792.759,0.78,-0.39,0.5063786534,-0.2023558942,-0.2768149954,0.4471831622,-0.2648626707,-1.1635660642,0.5192358733,-0.2050134181,-0.2906968117,0.0095877241,0.0039550842,0.0940604899
7134,792.859,0.78,-0.39,0.5192358733,-0.2050134181,-0.2906968117,0.0095877241,0.0039550842,0.0940604899,0.5649690073,-0.2067442056,-0.2894846839,0.8030900201,-0.0640658192,-0.0390382291
7135,792.959,0.78,-0.39,0.5649690073,-0.2067442056,-0.2894846839,0.8030900201,-0.0640658192,-0.0390382291,0.6366797205,-0.2705331047,-0.2900252175,0.8127396932,-1.4176215349,0.0803249296
7136,793.058,0.78,-0.39,0.6366797205,-0.2705331047,-0.2900252175,0.8127396932,-1.4176215349,0.0803249296,0.6936579723,-0.3991855157,-0.2354244488,0.4055042274,-0.7484272985,0.7426266719
7137,793.166,0.78,-0.39,0.6936579723,-0.3991855157,-0.2354244488,0.4055042274,-0.7484272985,0.7426266719,0.7458076677,-0.4363239444,-0.1531501534,0.6121310763,-0.0227294177,0.8181634954
7138,793.26,0.78,-0.39,0.7458076677,-0.4363239444,-0.1531501534,0.6121310763,-0.0227294177,0.8181634954,0.7928824623,-0.4127712257,-0.1068149123,0.3173534481,0.4228150188,0.1240690319
7139,793.358,0.78,-0.39,0.7928824623,-0.4127712257,-0.1068149123,0.3173534481,0.4228150188,0.1240690319,0.7960580054,-0.3836318909,-0.1247684069,-0.1670815436,0.1202014648,-0.3457570183
7140,793.459,0.78,-0.39,0.7960580054,-0.3836318909,-0.1247684069,-0.1670815436,0.1202014648,-0.3457570183,0.7778034145,-0.3892880562,-0.1469797172,-0.0897793451,-0.129750824,-0.0251566409
7141,793.56,0.78,-0.39,0.7778034145,-0.3892880562,-0.1469797172,-0.0897793451,-0.129750824,-0.0251566409,0.4021211804,0.0032428849,-0.1372133004,0.0127476238,-0.0912608816,0.1986755688
7142,794.532,0.67,0.33,0.4021211804,0.0032428849,-0.1372133004,0.0127476238,-0.0912608816,0.1986755688,0.4024818698,0.0026512748,-0.1359171762,0.0330213,-0.0504227491,0.0886740066
7143,794.533,0.67,0.33,0.4024818698,0.0026512748,-0.1359171762,0.0330213,-0.0504227491,0.0886740066,0.5102782813,0.0395771135,-0.1727463622,1.1835718916,1.3102590003,-0.5027823962
7144,794.64,0.67,0.33,0.5102782813,0.0395771135,-0.1727463622,1.1835718916,1.3102590003,-0.5027823962,0.5708496923,0.1676003151,-0.21429751,0.3764109249,1.232882658,-0.176179305
7145,794.733,0.67,0.33,0.5708496923,0.1676003151,-0.21429751,0.3764109249,1.232882658,-0.176179305,0.6047130389,0.2528237333,-0.2056474354,0.423939461,0.7046069829,0.3225235798
7146,794.833,0.67,0.33,0.6047130389,0.2528237333,-0.2056474354,0.423939461,0.7046069829,0.3225235798,0.649508868,0.3057111963,-0.1591933596,0.45305286,0.4056930773,0.569727592
7147,794.933,0.67,0.33,0.649508868,0.3057111963,-0.1591933596,0.45305286,0.4056930773,0.569727592,0.6811826945,0.3349631128,-0.1177452569,0.0131633443,0.0171026225,0.0160019082
7148,795.037,0.67,0.33,0.6811826945,0.3349631128,-0.1177452569,0.0131633443,0.0171026225,0.0160019082,0.4012389559,0.0005886658,-0.1367567429,0.0273556076,-0.0490544905,0.2045087071
7149,795.82,0.61,0.13,0.4012389559,0.0005886658,-0.1367567429,0.0273556076,-0.0490544905,0.2045087071,0.4769669241,0.0100433476,-0.1616431553,0.9919102046,0.5769483491,-0.2492239826
7150,795.921,0.61,0.13,0.4769669241,0.0100433476,-0.1616431553,0.9919102046,0.5769483491,-0.2492239826,0.5579194972,0.0811276126,-0.1548928976,0.6565407297,0.6653522242,0.2776534319
7151,796.021,0.61,0.13,0.5579194972,0.0811276126,-0.1548928976,0.6565407297,0.6653522242,0.2776534319,0.6100687082,0.1318614454,-0.1247311799,0.3024472092,0.3138464634,0.1656892921
7152,796.12,0.61,0.13,0.6100687082,0.1318614454,-0.1247311799,0.3024472092,0.3138464634,0.1656892921,0.3961810381,-0.0018924462,-0.1398858464,0.0947231005,0.0027930102,0.1329501169
7153,796.95,0.79,0.24,0.3961810381,-0.0018924462,-0.1398858464,0.0947231005,0.0027930102,0.1329501169,0.5284071233,-0.0017828011,-0.1364293932,1.8577168436,-0.1182239908,-0.0937084557
7154,797.051,0.79,0.24,0.5284071233,-0.0017828011,-0.1364293932,1.8577168436,-0.1182239908,-0.0937084557,0.6759993965,0.041735561,-0.173904219,0.8949795838,1.0839441361,-0.6473083592
7155,797.15,0.79,0.24,0.6759993965,0.041735561,-0.173904219,0.8949795838,1.0839441361,-0.6473083592,0.7185143468,0.155404431,-0.2158482551,0.2157274158,0.9667912582,-0.047516568
7156,797.251,0.79,0.24,0.7185143468,0.155404431,-0.2158482551,0.2157274158,0.9667912582,-0.047516568,0.7442133138,0.2234379422,-0.1944526583,0.3357689085,0.4221286932,0.4291315217
7157,797.35,0.79,0.24,0.7442133138,0.2234379422,-0.1944526583,0.3357689085,0.4221286932,0.4291315217,0.7873308882,0.2477317177,-0.1346708185,0.360508162,0.0524522461,0.5031764602
