counter,time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,cube_pose_x,cube_pose_y,right_gripper,right_j0_next,right_j1_next,right_j2_next,right_j3_next,right_j4_next,right_j5_next,right_j6_next,eef_pose_x,eef_pose_y,eef_pose_z,eef_pose_x_next,eef_pose_y_next,eef_pose_z_next
4218,1128.338,0.5289389513,0.9257198478,1.1448820414,-2.0269254823,-0.7293980575,2.1819822608,2.1157710201,0.57,0.07,0.000136,0.4526522046,0.7038212196,1.0283981288,-1.7151160544,-0.8212135093,2.0456121758,2.3294422814,0.4008425871,0.0040673511,0.0010313488,0.5517101036,0.0448281618,0.0090952649
4219,1128.539,0.4526522046,0.7038212196,1.0283981288,-1.7151160544,-0.8212135093,2.0456121758,2.3294422814,0.57,0.07,0.000136,0.4526522046,0.7038212196,1.0283981288,-1.7151160544,-0.8212135093,2.0456121758,2.3294422814,0.5517101036,0.0448281618,0.0090952649,0.5517101036,0.0448281618,0.0090952649
4220,1129.267,0.5202350268,0.9290358418,1.1535677492,-2.0265759637,-0.7351638915,2.179018331,2.1327071288,0.54,-0.26,0.000136,0.2048249116,0.6799968112,1.1248840487,-1.7096030985,-0.9757783894,1.9770288916,1.7609736592,0.3976486994,-0.0024752101,-0.0026360181,0.5200973874,-0.1207500597,-0.0305040335
4221,1129.467,0.2048249116,0.6799968112,1.1248840487,-1.7096030985,-0.9757783894,1.9770288916,1.7609736592,0.54,-0.26,0.000136,-0.1079255822,0.5413132267,1.1023402114,-1.5988329358,-0.9764632205,1.9614793713,1.7221042985,0.5200973874,-0.1207500597,-0.0305040335,0.5383439518,-0.2708551776,0.0095079287
4222,1129.667,-0.1079255822,0.5413132267,1.1023402114,-1.5988329358,-0.9764632205,1.9614793713,1.7221042985,0.54,-0.26,0.000136,-0.1079255822,0.5413132267,1.1023402114,-1.5988329358,-0.9764632205,1.9614793713,1.7221042985,0.5383439518,-0.2708551776,0.0095079287,0.5383439518,-0.2708551776,0.0095079287
4223,1130.536,0.5822342352,0.7888671873,1.2390580243,-2.0510446295,-0.9035073959,2.1364187851,1.9872002105,0.64,0.37,0.000136,0.735455703,0.5311463806,1.1868286564,-1.5035190427,-1.1095863015,1.8078021714,2.6786826979,0.4002794678,0.0044608218,-0.0008662235,0.5668135527,0.21435142,-0.0542428788
4224,1130.736,0.735455703,0.5311463806,1.1868286564,-1.5035190427,-1.1095863015,1.8078021714,2.6786826979,0.64,0.37,0.000136,0.7392695754,0.3077767163,1.1593846022,-1.1997482687,-1.1027299328,1.7977303317,2.8059778336,0.5668135527,0.21435142,-0.0542428788,0.6365863273,0.3736137166,0.0148899359
4225,1130.936,0.7392695754,0.3077767163,1.1593846022,-1.1997482687,-1.1027299328,1.7977303317,2.8059778336,0.64,0.37,0.000136,0.7392695754,0.3077767163,1.1593846022,-1.1997482687,-1.1027299328,1.7977303317,2.8059778336,0.6365863273,0.3736137166,0.0148899359,0.6365863273,0.3736137166,0.0148899359
4226,1131.843,0.5423079489,0.8753699089,1.1864840167,-2.0284058975,-0.7961117654,2.1640220032,2.0817340654,0.58,0.23,0.000136,0.7055857622,0.6314365354,1.0907947963,-1.6626577183,-0.9304324587,1.9764126684,2.5286841409,0.4009883588,0.0001946773,-0.0029350112,0.5402006418,0.1780212499,-0.0062428528
4227,1132.043,0.7055857622,0.6314365354,1.0907947963,-1.6626577183,-0.9304324587,1.9764126684,2.5286841409,0.58,0.23,0.000136,0.7055857622,0.6314365354,1.0907947963,-1.6626577183,-0.9304324587,1.9764126684,2.5286841409,0.5402006418,0.1780212499,-0.0062428528,0.5402006418,0.1780212499,-0.0062428528
4228,1132.835,0.5357383214,0.8920694253,1.1834690351,-2.0328329868,-0.7824938108,2.1677851056,2.0960329423,0.64,0.04,0.000136,0.3301131434,0.6425102276,1.0393393173,-1.6043842378,-0.875643104,1.96715223,2.3274694812,0.396911784,-0.0031802204,-0.0037099503,0.5911086999,-0.0111601568,-0.0041024824
4229,1133.036,0.3301131434,0.6425102276,1.0393393173,-1.6043842378,-0.875643104,1.96715223,2.3274694812,0.64,0.04,0.000136,0.3536685569,0.5731778218,0.9978435069,-1.460474534,-0.8692368067,1.9671318811,2.3398579526,0.5911086999,-0.0111601568,-0.0041024824,0.6416651207,0.0490655423,0.0045913554
4230,1133.236,0.3536685569,0.5731778218,0.9978435069,-1.460474534,-0.8692368067,1.9671318811,2.3398579526,0.64,0.04,0.000136,0.3536685569,0.5731778218,0.9978435069,-1.460474534,-0.8692368067,1.9671318811,2.3398579526,0.6416651207,0.0490655423,0.0045913554,0.6416651207,0.0490655423,0.0045913554
4231,1133.807,0.522431748,0.9234641015,1.1579300222,-2.0243332622,-0.74149658,2.1776017829,2.1275417827,0.58,0.28,0.000136,0.7470974914,0.6702877153,1.0482574529,-1.6039259101,-0.8902668416,1.9693094814,2.6428471863,0.3982131718,-0.002144736,-0.0035718729,0.5363976073,0.2195850475,-0.0218030009
4232,1134.007,0.7470974914,0.6702877153,1.0482574529,-1.6039259101,-0.8902668416,1.9693094814,2.6428471863,0.58,0.28,0.000136,0.7336276603,0.550137273,1.0115467288,-1.457777565,-0.8896719154,1.9565846248,2.7114271672,0.5363976073,0.2195850475,-0.0218030009,0.5826179531,0.2837145232,0.0094261241
4233,1134.207,0.7336276603,0.550137273,1.0115467288,-1.457777565,-0.8896719154,1.9565846248,2.7114271672,0.58,0.28,0.000136,0.7336276603,0.550137273,1.0115467288,-1.457777565,-0.8896719154,1.9565846248,2.7114271672,0.5826179531,0.2837145232,0.0094261241,0.5826179531,0.2837145232,0.0094261241
4234,1134.824,0.5162643659,0.9361627836,1.1505215276,-2.0203184158,-0.7251384783,2.1815934376,2.1370632044,0.66,0.09,0.000136,0.3670305873,0.6819072228,1.0015005915,-1.5572004634,-0.8430970884,1.951442168,2.447028895,0.3979283449,-0.0023833722,-0.0045454275,0.5973115917,0.0235076615,-0.0210505183
4235,1135.025,0.3670305873,0.6819072228,1.0015005915,-1.5572004634,-0.8430970884,1.951442168,2.447028895,0.66,0.09,0.000136,0.3893009396,0.5540388724,0.949699668,-1.3761183354,-0.8324626122,1.9468491954,2.4672989901,0.5973115917,0.0235076615,-0.0210505183,0.6655599217,0.1037223632,0.0108077118
4236,1135.225,0.3893009396,0.5540388724,0.949699668,-1.3761183354,-0.8324626122,1.9468491954,2.4672989901,0.66,0.09,0.000136,0.3893009396,0.5540388724,0.949699668,-1.3761183354,-0.8324626122,1.9468491954,2.4672989901,0.6655599217,0.1037223632,0.0108077118,0.6655599217,0.1037223632,0.0108077118
4237,1135.95,0.5023770657,0.9621222605,1.1273095928,-2.0173102188,-0.6845618165,2.1867317206,2.1663183621,0.58,0.23,0.000136,0.6729556649,0.7104089696,1.0051203566,-1.6205927994,-0.8262930421,2.0002909179,2.6123926338,0.3989000635,-0.0017946305,-0.00257225,0.5447065482,0.185759685,-0.0149333094
4238,1136.15,0.6729556649,0.7104089696,1.0051203566,-1.6205927994,-0.8262930421,2.0002909179,2.6123926338,0.58,0.23,0.000136,0.6729556649,0.7104089696,1.0051203566,-1.6205927994,-0.8262930421,2.0002909179,2.6123926338,0.5447065482,0.185759685,-0.0149333094,0.5447065482,0.185759685,-0.0149333094
4239,1136.768,0.5031508425,0.9621625682,1.1304029533,-2.0174995253,-0.6876543362,2.1863556141,2.1645848455,0.62,-0.14,0.000136,0.1880423456,0.7156256704,1.0265014222,-1.6131817191,-0.8657443748,1.9778250683,2.0724377702,0.3979313245,-0.0025160018,-0.0035533988,0.5610934894,-0.0975944006,-0.0303672213
4240,1136.97,0.1880423456,0.7156256704,1.0265014222,-1.6131817191,-0.8657443748,1.9778250683,2.0724377702,0.62,-0.14,0.000136,0.0561805833,0.5732240926,0.988563525,-1.472342275,-0.8634229942,1.9644817305,2.0709856302,0.5610934894,-0.0975944006,-0.0303672213,0.6279744077,-0.1427899935,0.0114864959
4241,1137.17,0.0561805833,0.5732240926,0.988563525,-1.472342275,-0.8634229942,1.9644817305,2.0709856302,0.62,-0.14,0.000136,0.0561805833,0.5732240926,0.988563525,-1.472342275,-0.8634229942,1.9644817305,2.0709856302,0.6279744077,-0.1427899935,0.0114864959,0.6279744077,-0.1427899935,0.0114864959
4242,1137.789,0.539605454,0.9058985446,1.1646707323,-2.0272456745,-0.75811273,2.1764104359,2.0998945345,0.64,0.08,0.000136,0.3765264412,0.6619562741,1.0329231814,-1.5984491293,-0.8706572872,1.9640226644,2.3858761271,0.3999191968,0.0038587778,-0.0015676254,0.5879678748,0.0163052081,-0.0123623744
4243,1137.99,0.3765264412,0.6619562741,1.0329231814,-1.5984491293,-0.8706572872,1.9640226644,2.3858761271,0.64,0.08,0.000136,0.3999213236,0.5678793546,0.986927881,-1.4402980913,-0.8617754454,1.9610834877,2.4051609594,0.5879678748,0.0163052081,-0.0123623744,0.645364484,0.0860058888,0.0061674442
4244,1138.19,0.3999213236,0.5678793546,0.986927881,-1.4402980913,-0.8617754454,1.9610834877,2.4051609594,0.64,0.08,0.000136,0.3999213236,0.5678793546,0.986927881,-1.4402980913,-0.8617754454,1.9610834877,2.4051609594,0.645364484,0.0860058888,0.0061674442,0.645364484,0.0860058888,0.0061674442
4245,1139.037,0.5179419695,0.9316022768,1.1510458238,-2.0247055665,-0.7276705967,2.1789259068,2.1355820114,0.65,-0.36,0.000136,0.20129933,0.6797913467,1.1414285787,-1.493947748,-1.0705209466,1.8239153479,1.8413767292,0.398337443,-0.0022165558,-0.00244096,0.5557025551,-0.108450252,-0.1062279852
4246,1139.237,0.20129933,0.6797913467,1.1414285787,-1.493947748,-1.0705209466,1.8239153479,1.8413767292,0.65,-0.36,0.000136,-0.1484240776,0.4143452153,1.1331335217,-1.2241132561,-1.0686669661,1.8109228445,1.7995755986,0.5557025551,-0.108450252,-0.1062279852,0.6570282216,-0.2570066923,-0.0334393147
4247,1139.44,-0.1484240776,0.4143452153,1.1331335217,-1.2241132561,-1.0686669661,1.8109228445,1.7995755986,0.65,-0.36,0.000136,-0.3573320514,0.3309794028,1.1199902374,-1.1668074331,-1.0722915487,1.7990428699,1.8080149265,0.6570282216,-0.2570066923,-0.0334393147,0.6328915698,-0.3900098245,0.0098871002
4248,1139.642,-0.3573320514,0.3309794028,1.1199902374,-1.1668074331,-1.0722915487,1.7990428699,1.8080149265,0.65,-0.36,0.000136,-0.3573320514,0.3309794028,1.1199902374,-1.1668074331,-1.0722915487,1.7990428699,1.8080149265,0.6328915698,-0.3900098245,0.0098871002,0.6328915698,-0.3900098245,0.0098871002
4249,1140.571,0.5667405029,0.8293155879,1.2140151126,-2.0380836731,-0.8518624462,2.1533887141,2.0266703442,0.61,0.25,0.000136,0.678819517,0.5902913971,1.1274436566,-1.6252586335,-0.9981314461,1.9181794843,2.5301333587,0.4014190874,0.0044598754,-0.0018221452,0.5558806481,0.1629623941,-0.0178556113
4250,1140.774,0.678819517,0.5902913971,1.1274436566,-1.6252586335,-0.9981314461,1.9181794843,2.5301333587,0.61,0.25,0.000136,0.6814055842,0.460287064,1.0910096578,-1.4246038392,-0.9929794384,1.9073258997,2.6005236531,0.5558806481,0.1629623941,-0.0178556113,0.6127149258,0.2543874064,0.0108176238
4251,1140.974,0.6814055842,0.460287064,1.0910096578,-1.4246038392,-0.9929794384,1.9073258997,2.6005236531,0.61,0.25,0.000136,0.6814055842,0.460287064,1.0910096578,-1.4246038392,-0.9929794384,1.9073258997,2.6005236531,0.6127149258,0.2543874064,0.0108176238,0.6127149258,0.2543874064,0.0108176238
4252,1141.563,0.5378160311,0.8875320771,1.183118525,-2.0310224473,-0.7842721041,2.1665558095,2.0923536719,0.69,-0.07,0.000136,0.2319992754,0.6499179955,1.0308509174,-1.544600826,-0.8828815815,1.9231134432,2.2166686874,0.3985790132,-0.0016852116,-0.0031689583,0.6001515631,-0.0624716823,-0.0227235547
4253,1141.763,0.2319992754,0.6499179955,1.0308509174,-1.544600826,-0.8828815815,1.9231134432,2.2166686874,0.69,-0.07,0.000136,0.1130545335,0.4961716793,0.9777533985,-1.3228832559,-0.8802234489,1.9075057312,2.2399131752,0.6001515631,-0.0624716823,-0.0227235547,0.6899603904,-0.0785074252,0.0152889611
4254,1141.963,0.1130545335,0.4961716793,0.9777533985,-1.3228832559,-0.8802234489,1.9075057312,2.2399131752,0.69,-0.07,0.000136,0.1130545335,0.4961716793,0.9777533985,-1.3228832559,-0.8802234489,1.9075057312,2.2399131752,0.6899603904,-0.0785074252,0.0152889611,0.6899603904,-0.0785074252,0.0152889611
4255,1142.723,0.5171779551,0.9376835626,1.1442495791,-2.0167334529,-0.7196037334,2.1827567001,2.1372508279,0.63,-0.25,0.000136,0.2077685069,0.6946475677,1.0719909026,-1.5819948942,-0.9483458538,1.914384245,1.9346102095,0.3999861988,8.49322902939615E-05,-0.0039498507,0.5608951751,-0.0990094696,-0.0530157023
4256,1142.924,0.2077685069,0.6946475677,1.0719909026,-1.5819948942,-0.9483458538,1.914384245,1.9346102095,0.63,-0.25,0.000136,-0.1379904592,0.4699394656,1.0368172763,-1.3633221636,-0.9457040559,1.8977902582,1.9129128775,0.5608951751,-0.0990094696,-0.0530157023,0.6313824135,-0.2623053104,0.0143431703
4257,1143.125,-0.1379904592,0.4699394656,1.0368172763,-1.3633221636,-0.9457040559,1.8977902582,1.9129128775,0.63,-0.25,0.000136,-0.1379904592,0.4699394656,1.0368172763,-1.3633221636,-0.9457040559,1.8977902582,1.9129128775,0.6313824135,-0.2623053104,0.0143431703,0.6313824135,-0.2623053104,0.0143431703
4258,1144.187,0.5517417127,0.8634902875,1.1892874653,-2.0391571961,-0.8107970515,2.1623993571,2.058687055,0.37,0.05,0.000136,0.2333689165,0.6172757235,1.1805246973,-1.7947005071,-1.0175970044,1.9976363586,1.8304536574,0.4005902823,0.0021317847,0.0008510183,0.5042888799,-0.1180716926,-0.0070833974
4259,1144.389,0.2333689165,0.6172757235,1.1805246973,-1.7947005071,-1.0175970044,1.9976363586,1.8304536574,0.37,0.06,0.000136,0.2333689165,0.6172757235,1.1805246973,-1.7947005071,-1.0175970044,1.9976363586,1.8304536574,0.5042888799,-0.1180716926,-0.0070833974,0.5042888799,-0.1180716926,-0.0070833974
4260,1145.201,0.5855718995,0.7740013687,1.2502674003,-2.0554313771,-0.9262507998,2.1275021445,1.9713923777,0.69,0.17,0.000136,0.4567751093,0.5287559272,1.1917792065,-1.5682527851,-1.1056069073,1.8280943835,2.4237919832,0.399100743,0.0027431879,-0.0018228123,0.5914179733,0.0347914048,-0.0387974472
4261,1145.401,0.4567751093,0.5287559272,1.1917792065,-1.5682527851,-1.1056069073,1.8280943835,2.4237919832,0.69,0.17,0.000136,0.4864644775,0.3352736449,1.1556373672,-1.286414157,-1.0917282843,1.8238302509,2.4698404197,0.5914179733,0.0347914048,-0.0387974472,0.6931458894,0.1719870331,0.0178335354
4262,1145.602,0.4864644775,0.3352736449,1.1556373672,-1.286414157,-1.0917282843,1.8238302509,2.4698404197,0.69,0.17,0.000136,0.4864644775,0.3352736449,1.1556373672,-1.286414157,-1.0917282843,1.8238302509,2.4698404197,0.6931458894,0.1719870331,0.0178335354,0.6931458894,0.1719870331,0.0178335354
4263,1146.489,0.5590784632,0.8283676496,1.2179030933,-2.0448464324,-0.8555167372,2.145878639,2.0383818787,0.65,0.26,0.000136,0.6302264224,0.5781161954,1.1359025593,-1.5562412149,-1.0290252241,1.8696854437,2.5724307044,0.3994807406,-0.0012602761,-0.0011987727,0.5760528122,0.148296679,-0.0365035955
4264,1146.691,0.6302264224,0.5781161954,1.1359025593,-1.5562412149,-1.0290252241,1.8696854437,2.5724307044,0.65,0.26,0.000136,0.6370387761,0.3928038931,1.0967609097,-1.3046556949,-1.0207364161,1.8600033189,2.6441648273,0.5760528122,0.148296679,-0.0365035955,0.650696948,0.2705821174,0.0161889757
4265,1146.892,0.6370387761,0.3928038931,1.0967609097,-1.3046556949,-1.0207364161,1.8600033189,2.6441648273,0.65,0.26,0.000136,0.6370387761,0.3928038931,1.0967609097,-1.3046556949,-1.0207364161,1.8600033189,2.6441648273,0.650696948,0.2705821174,0.0161889757,0.650696948,0.2705821174,0.0161889757
4266,1147.673,0.5391945205,0.8832592585,1.1829267903,-2.0311479168,-0.787197285,2.165874875,2.0891492849,0.5,-0.25,0.000136,0.2339550598,0.6417494624,1.1830522059,-1.7926320652,-1.0308431975,1.9837837977,1.6751951751,0.3996512903,-0.0008542259,-0.0022999809,0.4954088986,-0.122347389,-0.0192240866
4267,1147.873,0.2339550598,0.6417494624,1.1830522059,-1.7926320652,-1.0308431975,1.9837837977,1.6751951751,0.5,-0.25,0.000136,-0.0651902894,0.5393841777,1.1680202432,-1.7104443564,-1.034816407,1.9691618118,1.6270101369,0.4954088986,-0.122347389,-0.0192240866,0.4973958005,-0.2609883193,0.0067187261
4268,1148.073,-0.0651902894,0.5393841777,1.1680202432,-1.7104443564,-1.034816407,1.9691618118,1.6270101369,0.5,-0.25,0.000136,-0.0651902894,0.5393841777,1.1680202432,-1.7104443564,-1.034816407,1.9691618118,1.6270101369,0.4973958005,-0.2609883193,0.0067187261,0.4973958005,-0.2609883193,0.0067187261
4269,1148.81,0.584366539,0.7738315027,1.2462709978,-2.0561113162,-0.9220420985,2.1296059635,1.9748667604,0.6,-0.23,0.000136,0.2647963606,0.5259981887,1.2155323388,-1.6555971077,-1.1122599327,1.8818103314,1.7817802265,0.4002646569,0.0033868797,6.06252336147507E-05,0.5583496446,-0.0915570149,-0.0267565762
4270,1149.011,0.2647963606,0.5259981887,1.2155323388,-1.6555971077,-1.1122599327,1.8818103314,1.7817802265,0.6,-0.23,0.000136,-0.0647171438,0.3944270833,1.1901383023,-1.4934377738,-1.1127694259,1.8639534478,1.7660601586,0.5583496446,-0.0915570149,-0.0267565762,0.595605596,-0.2510874175,0.0109027256
4271,1149.218,-0.0647171438,0.3944270833,1.1901383023,-1.4934377738,-1.1127694259,1.8639534478,1.7660601586,0.6,-0.23,0.000136,-0.0647171438,0.3944270833,1.1901383023,-1.4934377738,-1.1127694259,1.8639534478,1.7660601586,0.595605596,-0.2510874175,0.0109027256,0.595605596,-0.2510874175,0.0109027256
4272,1150.146,0.6061079108,0.7110050634,1.2869610994,-2.0683752288,-0.9951745882,2.0993636338,1.9183598178,0.66,-0.4,0.000136,0.2990657721,0.4594845292,1.3371432841,-1.5629608594,-1.309471902,1.7089433188,1.7295337171,0.398852818,0.0054153274,-0.0019416046,0.5642269244,-0.0750882379,-0.084913813
4273,1150.346,0.2990657721,0.4594845292,1.3371432841,-1.5629608594,-1.309471902,1.7089433188,1.7295337171,0.66,-0.4,0.000136,-0.0327144784,0.2163337223,1.3375642042,-1.2122558825,-1.3016465387,1.6964775038,1.6916630981,0.5642269244,-0.0750882379,-0.084913813,0.7104084345,-0.183222217,-0.0114021514
4274,1150.546,-0.0327144784,0.2163337223,1.3375642042,-1.2122558825,-1.3016465387,1.6964775038,1.6916630981,0.66,-0.4,0.000136,-0.3866928099,0.1660472836,1.3299418093,-1.1117319179,-1.3060646722,1.6866011618,1.6961866975,0.7104084345,-0.183222217,-0.0114021514,0.6531586824,-0.4095639639,0.0110510124
4275,1150.746,-0.3866928099,0.1660472836,1.3299418093,-1.1117319179,-1.3060646722,1.6866011618,1.6961866975,0.66,-0.4,0.000136,-0.3866928099,0.1660472836,1.3299418093,-1.1117319179,-1.3060646722,1.6866011618,1.6961866975,0.6531586824,-0.4095639639,0.0110510124,0.6531586824,-0.4095639639,0.0110510124
4276,1151.848,0.5948927136,0.7230438853,1.2748924158,-2.0676271269,-0.9801234408,2.104648073,1.9331485593,0.53,0.27,0.000136,0.8551193468,0.5602951063,1.1291546791,-1.7065998891,-0.9567866136,1.9883899607,2.5512320356,0.400126425,0.0022671763,0.0004094483,0.510986855,0.2514358854,0.0203285598
4277,1152.048,0.8551193468,0.5602951063,1.1291546791,-1.7065998891,-0.9567866136,1.9883899607,2.5512320356,0.53,0.27,0.000136,0.8551193468,0.5602951063,1.1291546791,-1.7065998891,-0.9567866136,1.9883899607,2.5512320356,0.510986855,0.2514358854,0.0203285598,0.510986855,0.2514358854,0.0203285598
4278,1152.741,0.5446069872,0.8650460387,1.2038548376,-2.0392142783,-0.8244740705,2.155616393,2.0658196011,0.67,-0.02,0.000136,0.254053315,0.6234400498,1.0497342304,-1.5805871045,-0.8968087266,1.9385382597,2.2443456731,0.3958282658,-0.0056003512,-0.0048759398,0.5970923046,-0.0561187056,-0.0073804925
