right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,"right_j6, eef_pose_x, eef_pose_y, eef_pose_z"
0.2298480785,-0.6658555175,0.5089756543,2.1430241908,1.3591320448,-0.4321680212,1.7623762511,0.5284937653602835,0.405520844792276,0.03469663444636627
0.2585342307,-0.6567761762,0.5286475105,2.1422499252,1.9471777736,-0.4308778368,1.7663253127,0.5169539320724866,0.35301075408770605,-0.004531871761611697
-0.4497950611,-0.5678925511,0.0329916696,2.3361444482,0.1717365434,-0.2072626335,2.548592397,0.40063755030059167,-0.007553298556714169,4.118670887995335e-05
-0.1189683266,-0.5208821846,-0.0805152116,2.0652905872,0.6725629186,0.126731008,2.3856944064,0.5191157778919719,0.03954491919748472,-0.010294798238791158
-0.4954882255,-0.5688954718,0.1127294863,2.4240318922,0.3560214005,-0.287919081,2.3846125751,0.3971236457699725,-0.004371856816140016,-0.0015399798282523872
-0.6221948932,-0.3434475049,-0.2052981405,2.0393792569,0.7704167999,0.3342797003,1.8028353015,0.39445955522519893,-0.21929960752959207,-0.06160183404661272
-0.6174876613,-0.3490927216,-0.3044251284,1.6905504424,0.7885358674,0.413922996,1.6899124509,0.5076531719123136,-0.35775994160859126,-0.00998058153173505
-0.4381499359,-0.5611241118,0.0299695985,2.3316501588,0.1513228102,-0.1859690141,2.5692480229,0.39597589887594375,-0.0005590814045518074,-0.0014933917660516216
-0.1159299785,-0.2757732007,-0.2614024199,1.9494889546,0.6597282733,0.4449230962,2.6455505808,0.44508368952436816,-0.012341691572964988,-0.07402367325759605
0.2180382226,-0.2715861685,-0.3318051899,1.5641313099,0.7061549008,0.5306338873,2.6444244819,0.6178791130049254,0.14201414896849623,-0.028212794168983063
0.2323226928,-0.2748430061,-0.3465325053,1.430281486,0.7089207308,0.5311730228,2.6372722001,0.6789452156625474,0.16196016392772433,0.004094109657557941
-2.0834549558,1.514800687,0.5970070703,2.2060518214,0.0373874202,-2.1587943298,0.4809973062,0.39999565013069804,-8.366645000757156e-06,-4.462726844862985e-05
-2.1891711169,1.7761436174,0.9495288652,1.9477122151,-0.3240113311,-1.947314638,-0.2575255335,0.5012978583735233,-0.1239812300096319,0.025164258298959408
-2.190232811,1.8921678202,1.2327201939,1.8673254804,-0.3260936074,-1.9460000427,-0.3977359458,0.516941425316133,-0.1875714925575336,0.003980962601268293
